Rk,Squad,Pts,TopTeamScorer
1,Barcelona,93,Lionel Messi - 34
2,Atlético Madrid,79,Antoine Griezmann - 19
3,Real Madrid,76,Cristiano Ronaldo - 26
4,Valencia,73,Rodrigo - 16
5,Villarreal,61,Carlos Bacca - 15
6,Betis,60,Sergio León - 11
7,Sevilla,58,Wissam Ben Yedder - 9
8,Getafe,55,Ángel Rodríguez - 13
9,Eibar,51,Charles Kike - 8
10,Girona,51,Cristhian Stuani - 21
11,Espanyol,49,Gerard Moreno - 16
12,Real Sociedad,49,Willian José - 15
13,Celta Vigo,49,Iago Aspas - 22
14,Alavés,47,Munir El Haddadi - 10
15,Levante,46,José Luis Morales - 10
16,Athletic Club,43,Raúl García - 10
17,Leganés,43,Gabriel - 5
18,La Coruña,29,Adrián López - 9
19,Las Palmas,22,Jonathan Calleri - 9
20,Málaga,20,Diego Rolán - 6
