Rk,Squad,Pts,Top Team Scorer
1,Real Madrid,87,Karim Benzema - 21
2,Barcelona,82,Lionel Messi - 25
3,Atlético Madrid,70,Álvaro Morata - 12
4,Sevilla,70,Lucas Ocampos - 14
5,Villarreal,60,Gerard Moreno - 18
6,Real Sociedad,56,Willian José - 11
7,Granada,56,Carlos Fernández - 10
8,Getafe,54,Jaime Mata - 11
9,Valencia,53,Maxi Gómez - 9
10,Osasuna,52,Ezequiel Ávila - 9
11,Athletic Club,51,Raúl García - 15
12,Levante,49,Roger Martí - 11
13,Valladolid,42,Sergi Guardiola - 8
14,Eibar,42,Fabián Orellana - 8
15,Betis,41,Loren Morón - 10
16,Alavés,39,Joselu Lucas Pérez - 11
17,Celta Vigo,37,Iago Aspas - 14
18,Leganés,36,Óscar Rodríguez Arnaiz - 9
19,Mallorca,33,Ante Budimir - 13
20,Espanyol,25,Raúl de Tomás Wu Lei... - 4
