Rk,Squad,Pts,Top Team Scorer
1,Paris S-G,68,Kylian Mbappé - 18
2,Marseille,56,Darío Benedetto - 11
3,Rennes,50,M'Baye Niang - 10
4,Lille,49,Victor Osimhen - 13
5,Nice,41,Kasper Dolberg - 11
6,Reims,41,Boulaye Dia - 7
7,Lyon,40,Moussa Dembélé - 16
8,Montpellier,40,Andy Delort - 9
9,Monaco,40,Wissam Ben Yedder - 18
10,Strasbourg,38,Ludovic Ajorque Adrien Thomasson - 8
11,Angers,39,Rachid Alioui - 6
12,Bordeaux,37,Jimmy Briand - 7
13,Nantes,37,Moses Simon Ludovic Blas - 5
14,Brest,34,Irvin Cardona - 6
15,Metz,34,Habib Diallo - 12
16,Dijon,30,Mama Samba Baldé - 6
17,Saint-Étienne,30,Denis Bouanga - 10
18,Nîmes,27,Romain Philippoteaux - 5
19,Amiens,23,Sehrou Guirassy - 9
20,Toulouse,13,Efthimis Koulouris - 4
