Rk,Squad,Pts,Top Team Scorer
1,Lille,83,Burak Yılmaz - 16
2,Paris S-G,82,Kylian Mbappé - 27
3,Monaco,78,Wissam Ben Yedder - 20
4,Lyon,76,Memphis Depay - 20
5,Marseille,60,Arkadiusz Milik - 9
6,Rennes,58,Sehrou Guirassy - 10
7,Lens,57,Gaël Kakuta - 11
8,Montpellier,54,Gaëtan Laborde - 16
9,Nice,52,Amine Gouiri - 12
10,Metz,47,Ibrahima Niane Farid Boulaya - 6
11,Saint-Étienne,46,Denis Bouanga Wahbi Khazri - 7
12,Bordeaux,45,Hwang Ui-jo - 12
13,Angers,44,Angelo Fulgini - 7
14,Reims,42,Boulaye Dia - 14
15,Strasbourg,42,Ludovic Ajorque - 16
16,Lorient,42,Terem Moffi - 14
17,Brest,41,Steve Mounié - 9
18,Nantes,40,Ludovic Blas - 10
19,Nîmes,35,Renaud Ripart - 11
20,Dijon,21,Mama Samba Baldé - 7
