,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Roberto Firmino\4c370d81,br BRA,FW,25,52,47,3999,44.4,26,16,25,1,3,3,0,0.59,0.36,0.95,0.56,0.92,12.1,11.4,5.4,16.7,0.40,0.18,0.57,0.37,0.55,Matches
Mohamed Salah\e342ad68,eg EGY,FW,25,50,47,3927,43.6,43,14,42,1,2,1,0,0.99,0.32,1.31,0.96,1.28,24.4,22.9,9.0,31.9,0.76,0.28,1.03,0.71,0.99,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,26,48,38,3420,38.0,2,4,2,0,0,1,0,0.05,0.11,0.16,0.05,0.16,2.5,2.5,1.5,4.0,0.10,0.06,0.15,0.10,0.15,Matches
Sadio Mané\c691bfe2,sn SEN,FWMF,25,42,41,3284,36.5,20,9,20,0,0,5,1,0.55,0.25,0.79,0.55,0.79,10.4,10.4,4.9,15.3,0.43,0.20,0.63,0.43,0.63,Matches
Dejan Lovren\1a2935f6,hr CRO,DF,28,41,36,3177,35.3,2,2,2,0,0,6,0,0.06,0.06,0.11,0.06,0.11,1.5,1.5,0.3,1.9,0.06,0.01,0.08,0.06,0.08,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,27,39,35,3155,35.1,1,1,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06,1.0,0.8,1.8,2.6,0.04,0.07,0.11,0.03,0.11,Matches
Loris Karius\32e7ce92,de GER,GK,24,33,33,2970,33.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Emre Can\a65ce836,de GER,MF,23,36,32,2778,30.9,4,4,4,0,0,12,0,0.13,0.13,0.26,0.13,0.26,1.6,1.6,2.9,4.5,0.07,0.13,0.19,0.07,0.19,Matches
James Milner\2f90f6b8,eng ENG,MF,31,45,26,2752,30.6,1,12,0,1,2,4,0,0.03,0.39,0.43,0.00,0.39,1.1,1.1,3.5,4.6,0.06,0.18,0.23,0.06,0.23,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,23,30,30,2660,29.6,1,5,1,0,0,3,0,0.03,0.17,0.20,0.03,0.20,0.6,0.6,3.3,3.9,0.03,0.15,0.18,0.03,0.18,Matches
Joël Matip\b217ef29,cm CMR,DF,25,33,29,2642,29.4,1,0,1,0,0,3,0,0.03,0.00,0.03,0.03,0.03,1.7,1.7,0.5,2.1,0.08,0.02,0.10,0.08,0.10,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,18,31,28,2497,27.7,2,2,2,0,0,5,0,0.07,0.07,0.14,0.07,0.14,1.2,1.2,2.2,3.5,0.07,0.13,0.20,0.07,0.20,Matches
Joe Gomez\7a11550b,eng ENG,DF,20,30,27,2439,27.1,0,2,0,0,0,4,2,0.00,0.07,0.07,0.00,0.07,0.3,0.3,1.0,1.3,0.02,0.05,0.06,0.02,0.06,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,23,42,21,2057,22.9,5,8,5,0,0,3,0,0.22,0.35,0.57,0.22,0.57,2.4,2.4,4.1,6.5,0.15,0.25,0.39,0.15,0.39,Matches
Virgil van Dijk\e06683ca,nl NED,DF,26,22,22,1980,22.0,1,0,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,1.1,1.1,0.8,1.9,0.08,0.05,0.14,0.08,0.14,Matches
Alberto Moreno\11b9265b,es ESP,DF,25,25,22,1919,21.3,0,3,0,0,0,3,0,0.00,0.14,0.14,0.00,0.14,0.5,0.5,0.8,1.3,0.03,0.06,0.09,0.03,0.09,Matches
Ragnar Klavan\008a6e6d,ee EST,DF,31,27,20,1837,20.4,1,0,1,0,0,1,0,0.05,0.00,0.05,0.05,0.05,0.7,0.7,0.1,0.8,0.04,0.01,0.05,0.04,0.05,Matches
Simon Mignolet\d436eb94,be BEL,GK,29,20,20,1800,20.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Philippe Coutinho\0ef89a37,br BRA,MFFW,25,20,18,1501,16.7,12,8,11,1,1,0,0,0.72,0.48,1.20,0.66,1.14,2.6,2.6,4.2,6.9,0.21,0.34,0.56,0.21,0.56,Matches
Dominic Solanke\e77dc3b2,eng ENG,FW,19,26,6,736,8.2,1,1,1,0,0,2,0,0.12,0.12,0.24,0.12,0.24,2.9,2.9,2.1,5.0,0.44,0.32,0.76,0.44,0.76,Matches
Adam Lallana\99813635,eng ENG,MFFW,29,15,3,526,5.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.4,1.4,0.4,1.8,0.51,0.14,0.65,0.51,0.65,Matches
Daniel Sturridge\1b7ec703,eng ENG,FW,27,14,5,514,5.7,3,3,3,0,0,0,0,0.53,0.53,1.05,0.53,1.05,2.6,2.6,0.9,3.5,0.54,0.19,0.74,0.54,0.74,Matches
Danny Ings\07802f7f,eng ENG,FWMF,25,14,3,365,4.1,1,1,1,0,0,0,0,0.25,0.25,0.49,0.25,0.49,1.5,1.5,0.2,1.6,0.49,0.06,0.54,0.49,0.54,Matches
Nathaniel Clyne\0442183b,eng ENG,DFFW,26,5,2,183,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.04,0.07,0.11,0.04,0.11,Matches
Marko Grujić\8b8e759d,rs SRB,MF,21,5,1,111,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.11,0.11,0.00,0.11,Matches
Danny Ward\d3ce0e89,wls WAL,GK,24,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Jon Flanagan\f2428fd4,eng ENG,DF,24,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Ben Woodburn\8aadeaef,wls WAL,MF,17,2,0,52,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Divock Origi\43a166b4,be BEL,FW,22,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Conor Masterson\db975607,ie IRL,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Rafael Camacho\91b43c98,pt POR,FWMF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Curtis Jones\4fb9c88f,eng ENG,MF,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Lazar Marković\723ba189,rs SRB,FWMF,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
