Rk,Squad,Pts,Top Team Scorer
1,Manchester City,100,Sergio Agüero - 21
2,Manchester Utd,81,Romelu Lukaku - 16
3,Tottenham,77,Harry Kane - 30
4,Liverpool,75,Mohamed Salah - 32
5,Chelsea,70,Eden Hazard - 12
6,Arsenal,63,Alexandre Lacazette - 14
7,Burnley,54,Chris Wood - 10
8,Everton,49,Wayne Rooney - 10
9,Leicester City,47,Jamie Vardy - 20
10,Newcastle Utd,44,Ayoze Pérez - 8
11,Crystal Palace,44,Luka Milivojević - 10
12,Bournemouth,44,Joshua King Callum Wilson - 8
13,West Ham,42,Marko Arnautović - 11
14,Watford,41,Abdoulaye Doucouré - 7
15,Brighton,40,Glenn Murray - 12
16,Huddersfield,37,Steve Mounié - 7
17,Southampton,36,Charlie Austin - 7
18,Swansea City,33,Jordan Ayew - 7
19,Stoke City,33,Xherdan Shaqiri - 8
20,West Brom,31,Jay Rodriguez Salomón Rondón - 7
