,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Keylor Navas\ecada4fc,cr CRC,GK,33,45,45,3990,44.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.01,0.01,0.00,0.01,Matches
Kylian Mbappé\42fd9c7f,fr FRA,MF,21,47,41,3713,41.3,42,11,33,9,9,7,0,1.02,0.27,1.28,0.80,1.07,30.7,24.6,8.1,32.7,0.84,0.22,1.07,0.68,0.90,Matches
Marquinhos\d5f2f82b,br BRA,DF,26,40,38,3334,37.0,6,1,6,0,0,3,0,0.16,0.03,0.19,0.16,0.19,4.0,4.0,0.6,4.6,0.12,0.02,0.14,0.12,0.14,Matches
Presnel Kimpembe\aef6e670,fr FRA,DF,24,40,37,3307,36.7,0,0,0,0,0,9,2,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.01,0.01,0.02,0.01,0.02,Matches
Ángel Di María\19cda00b,ar ARG,MF,32,43,35,2931,32.6,6,15,6,0,1,1,1,0.18,0.46,0.64,0.18,0.64,7.8,7.0,12.6,19.7,0.28,0.45,0.72,0.25,0.70,Matches
Alessandro Florenzi\e288d4b3,it ITA,DF,29,36,32,2721,30.2,2,1,2,0,0,1,0,0.07,0.03,0.10,0.07,0.10,2.3,2.2,3.2,5.4,0.09,0.12,0.21,0.09,0.21,Matches
Danilo Pereira\8fd9996f,pt POR,DFFW,28,42,28,2630,29.2,2,1,2,0,0,5,0,0.07,0.03,0.10,0.07,0.10,1.8,1.8,0.4,2.2,0.07,0.02,0.09,0.07,0.09,Matches
Leandro Paredes\dff153a4,ar ARG,MF,26,36,31,2586,28.7,1,3,1,0,0,14,1,0.03,0.10,0.14,0.03,0.14,1.3,1.3,1.9,3.1,0.06,0.08,0.14,0.06,0.14,Matches
Ander Herrera\436a9dd0,es ESP,MF,30,45,25,2582,28.7,1,3,1,0,0,10,0,0.03,0.10,0.14,0.03,0.14,1.5,1.5,2.7,4.2,0.06,0.10,0.16,0.06,0.16,Matches
Abdou Diallo\fc62f087,sn SEN,DF,24,36,29,2568,28.5,0,2,0,0,0,3,2,0.00,0.07,0.07,0.00,0.07,0.3,0.3,1.2,1.5,0.01,0.05,0.07,0.01,0.07,Matches
Mitchel Bakker\a8567629,nl NED,DF,20,40,25,2478,27.5,0,2,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,0.6,0.6,1.9,2.5,0.02,0.08,0.11,0.02,0.11,Matches
Idrissa Gana Gueye\72c812f3,sn SEN,MF,30,44,31,2428,27.0,2,2,2,0,0,8,2,0.07,0.07,0.15,0.07,0.15,0.8,0.8,0.7,1.5,0.03,0.03,0.07,0.03,0.07,Matches
Moise Kean\3d50bcdb,it ITA,FW,20,41,28,2380,26.4,17,1,17,0,0,5,0,0.64,0.04,0.68,0.64,0.68,12.1,12.1,1.5,13.6,0.51,0.06,0.57,0.51,0.57,Matches
Neymar\69384e5d,br BRA,FWMF,28,31,26,2349,26.1,17,8,10,7,8,11,2,0.65,0.31,0.96,0.38,0.69,17.4,12.0,9.1,21.1,0.72,0.38,1.10,0.50,0.88,Matches
Marco Verratti\1467af0d,it ITA,MF,27,31,24,2177,24.2,0,6,0,0,0,10,0,0.00,0.25,0.25,0.00,0.25,1.2,1.2,3.6,4.8,0.05,0.16,0.22,0.05,0.22,Matches
Thilo Kehrer\51dbeea9,de GER,DF,23,33,20,2005,22.3,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.7,1.5,0.04,0.04,0.08,0.04,0.08,Matches
Layvin Kurzawa\41e7ef1c,fr FRA,DF,27,27,22,1826,20.3,1,1,1,0,0,6,1,0.05,0.05,0.10,0.05,0.10,1.1,1.1,1.9,3.0,0.06,0.10,0.16,0.06,0.16,Matches
Colin Dagba\29c02c9f,fr FRA,DF,21,33,19,1738,19.3,1,2,1,0,0,4,0,0.05,0.10,0.16,0.05,0.16,0.3,0.3,1.0,1.3,0.02,0.06,0.07,0.02,0.07,Matches
Mauro Icardi\43b78598,ar ARG,FW,27,28,19,1733,19.3,13,3,12,1,1,2,0,0.68,0.16,0.83,0.62,0.78,10.1,9.3,3.8,13.2,0.69,0.26,0.95,0.64,0.90,Matches
Pablo Sarabia\9744ff80,es ESP,FWMF,28,37,17,1711,19.0,7,4,7,0,0,3,0,0.37,0.21,0.58,0.37,0.58,5.9,5.9,5.6,11.5,0.36,0.35,0.71,0.36,0.71,Matches
Julian Draxler\1a992676,de GER,FWMF,26,34,18,1649,18.3,4,6,4,0,0,4,0,0.22,0.33,0.55,0.22,0.55,2.2,2.2,3.0,5.2,0.15,0.20,0.35,0.15,0.35,Matches
Rafinha\0c2ac3cb,br BRA,MF,27,34,18,1647,18.3,0,6,0,0,0,4,0,0.00,0.33,0.33,0.00,0.33,1.5,1.5,4.0,5.5,0.09,0.24,0.33,0.09,0.33,Matches
Sergio Rico\5f0241b2,es ESP,GK,26,13,11,1080,12.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Timothee Pembele\f8ce97ca,fr FRA,DF,17,9,3,448,5.0,1,0,1,0,0,2,0,0.20,0.00,0.20,0.20,0.20,1.0,1.0,0.2,1.2,0.23,0.04,0.28,0.23,0.28,Matches
Juan Bernat\433dc9a2,es ESP,DF,27,3,2,194,2.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.13,0.13,0.00,0.13,Matches
Kays Ruiz\90a9cc01,ma MAR,MF,17,7,1,186,2.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches
Marcin Bułka\db87a2c4,pl POL,GK,20,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Arnaud Kalimuendo\bf4c41f9,fr FRA,FW,18,1,1,73,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.47,0.11,0.58,0.47,0.58,Matches
Bandiougou Fadiga\45bb4303,fr FRA,MF,19,6,0,63,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.07,0.00,0.07,0.07,0.07,Matches
Jesé\4a537185,es ESP,FW,27,2,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Xavi Simons\da4d670f,nl NED,MF,17,2,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,2.98,0.00,2.98,2.98,2.98,Matches
Kenny Nagera\833ce5f0,fr FRA,FW,18,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
