,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Casemiro\4d224fe8,br BRA,MF,27,46,46,4077,45.3,5,5,5,0,0,14,0,0.11,0.11,0.22,0.11,0.22,3.9,3.9,0.8,4.7,0.09,0.02,0.11,0.09,0.11,Matches
Karim Benzema\70d74ece,fr FRA,FW,31,48,45,3967,44.1,27,11,22,5,5,0,0,0.61,0.25,0.86,0.50,0.75,22.9,19.1,11.5,30.6,0.54,0.27,0.82,0.45,0.73,Matches
Thibaut Courtois\1840e36d,be BEL,GK,27,43,43,3855,42.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Matches
Raphaël Varane\9f8e9423,fr FRA,DF,26,43,43,3842,42.7,4,1,4,0,0,3,0,0.09,0.02,0.12,0.09,0.12,1.4,1.4,0.5,1.9,0.04,0.01,0.05,0.04,0.05,Matches
Sergio Ramos\08511d65,es ESP,DF,33,44,44,3825,42.5,13,0,6,7,7,10,1,0.31,0.00,0.31,0.14,0.14,11.9,6.6,0.3,6.9,0.31,0.01,0.32,0.17,0.18,Matches
Dani Carvajal\4958bfb2,es ESP,DF,27,42,42,3750,41.7,1,7,1,0,0,13,0,0.02,0.17,0.19,0.02,0.19,2.9,2.9,5.8,8.7,0.08,0.16,0.23,0.08,0.23,Matches
Toni Kroos\6ce1f46f,de GER,MF,29,45,41,3564,39.6,6,8,6,0,0,3,0,0.15,0.20,0.35,0.15,0.35,3.5,3.5,5.6,9.0,0.10,0.16,0.25,0.10,0.25,Matches
Federico Valverde\0959c2a2,uy URU,MF,21,44,30,2714,30.2,2,5,2,0,0,4,1,0.07,0.17,0.23,0.07,0.23,2.0,2.0,4.0,6.0,0.08,0.16,0.24,0.08,0.24,Matches
Luka Modrić\6025fab1,hr CRO,MF,33,40,28,2628,29.2,5,7,5,0,0,11,1,0.17,0.24,0.41,0.17,0.41,2.4,2.4,3.5,5.9,0.09,0.13,0.22,0.09,0.22,Matches
Ferland Mendy\3cefcaef,fr FRA,DF,24,32,25,2408,26.8,1,3,1,0,0,9,1,0.04,0.11,0.15,0.04,0.15,0.6,0.6,2.3,3.0,0.03,0.09,0.12,0.03,0.12,Matches
Marcelo\603116a7,br BRA,DF,31,23,21,1852,20.6,2,5,2,0,0,3,0,0.10,0.24,0.34,0.10,0.34,0.6,0.6,3.5,4.2,0.04,0.20,0.24,0.04,0.24,Matches
Vinicius Júnior\7111d552,br BRA,FW,19,38,17,1828,20.3,5,3,5,0,0,6,0,0.25,0.15,0.39,0.25,0.39,4.9,4.9,3.4,8.3,0.28,0.20,0.48,0.28,0.48,Matches
Isco\a0b4bb3e,es ESP,MFFW,27,30,20,1611,17.9,3,2,3,0,0,2,0,0.17,0.11,0.28,0.17,0.28,3.0,3.0,2.2,5.2,0.19,0.14,0.32,0.19,0.32,Matches
Eden Hazard\a39bb753,be BEL,FW,28,22,20,1531,17.0,1,4,1,0,0,1,0,0.06,0.24,0.29,0.06,0.29,3.8,3.8,3.5,7.3,0.23,0.20,0.43,0.23,0.43,Matches
Éder Militão\2784f898,br BRA,DF,21,20,15,1472,16.4,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches
Rodrygo\8f5e92a6,br BRA,FW,18,26,16,1425,15.8,7,3,7,0,0,0,0,0.44,0.19,0.63,0.44,0.63,4.1,4.1,2.1,6.2,0.27,0.14,0.41,0.27,0.41,Matches
Gareth Bale\a58bb1e1,wls WAL,FW,30,20,14,1257,14.0,3,2,3,0,0,4,1,0.21,0.14,0.36,0.21,0.36,3.8,3.8,1.2,5.1,0.29,0.09,0.38,0.29,0.38,Matches
Lucas Vázquez\fd51b456,es ESP,FWMF,28,23,10,1040,11.6,3,1,3,0,0,1,0,0.26,0.09,0.35,0.26,0.35,1.3,1.3,1.9,3.2,0.13,0.18,0.31,0.13,0.31,Matches
Luka Jović\4d8cd038,rs SRB,FW,21,27,8,818,9.1,2,2,2,0,0,2,0,0.22,0.22,0.44,0.22,0.44,2.6,2.6,1.0,3.6,0.42,0.16,0.58,0.42,0.58,Matches
Alphonse Areola\2f965a72,fr FRA,GK,26,9,8,765,8.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
James Rodríguez\715bf047,co COL,MF,28,14,9,728,8.1,1,2,1,0,0,1,0,0.12,0.25,0.37,0.12,0.37,1.0,1.0,1.8,2.9,0.19,0.33,0.52,0.19,0.52,Matches
Nacho\2946f9a1,es ESP,DF,29,10,7,687,7.6,2,0,2,0,0,3,0,0.26,0.00,0.26,0.26,0.26,0.3,0.3,0.3,0.5,0.05,0.05,0.10,0.05,0.10,Matches
Álvaro Odriozola\1d1691ad,es ESP,DF,23,5,5,433,4.8,0,2,0,0,0,3,1,0.00,0.42,0.42,0.00,0.42,0.2,0.2,0.8,1.0,0.05,0.16,0.20,0.05,0.20,Matches
Marco Asensio\45af8a54,es ESP,FWMF,23,10,3,366,4.1,3,1,3,0,0,0,0,0.74,0.25,0.98,0.74,0.98,1.7,1.7,1.1,2.8,0.41,0.27,0.68,0.41,0.68,Matches
Brahim Díaz\407feb71,es ESP,FW,19,10,1,214,2.4,1,1,1,0,0,1,0,0.42,0.42,0.84,0.42,0.84,0.4,0.4,0.0,0.4,0.48,0.00,0.48,0.48,0.48,Matches
Mariano\5c4dc0ff,do DOM,FW,25,7,0,91,1.0,1,0,1,0,0,1,0,0.99,0.00,0.99,0.99,0.99,0.5,0.5,0.0,0.5,1.00,0.07,1.07,1.00,1.07,Matches
Javi\9a76c2e9,es ESP,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
