Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
Thibaut Courtois\1840e36d,be BEL,GK,29,52,52,4770,53.0,0,0,0,0,0,1,0
Éder Militão\2784f898,br BRA,DF,23,50,50,4491,49.9,2,2,2,0,0,9,1
Vinicius Júnior\7111d552,br BRA,FW,21,52,47,4253,47.3,22,16,22,0,0,7,0
David Alaba\05439de2,at AUT,DF,29,46,46,4066,45.2,3,4,3,0,0,4,0
Casemiro\4d224fe8,br BRA,MF,29,48,46,3918,43.5,1,3,1,0,0,16,0
Karim Benzema,fr FRA,FW,33,46,45,3905,43.4,44,14,33,11,15,1,0
Luka Modrić\6025fab1,hr CRO,MF,35,45,40,3416,38.0,3,12,2,1,1,6,0
Toni Kroos\6ce1f46f,de GER,MF,31,45,40,3388,37.6,3,3,3,0,0,6,0
Federico Valverde\0959c2a2,uy URU,MF,23,46,29,2864,31.8,1,2,1,0,0,5,0
Ferland Mendy\3cefcaef,fr FRA,DF,26,35,32,2811,31.2,2,4,2,0,0,7,0
Dani Carvajal\4958bfb2,es ESP,DF,29,36,29,2596,28.8,1,4,1,0,0,4,0
Nacho\2946f9a1,es ESP,DF,31,42,26,2551,28.3,3,0,3,0,0,9,0
Lucas Vázquez\fd51b456,es ESP,DF,30,41,26,2515,27.9,3,0,3,0,0,4,0
Rodrygo\8f5e92a6,br BRA,FW,20,48,24,2347,26.1,9,8,9,0,0,6,0
Marco Asensio\45af8a54,es ESP,FWMF,25,42,23,2140,23.8,12,2,12,0,0,2,0
Eduardo Camavinga\7b9c2d84,fr FRA,MF,18,39,15,1670,18.6,2,2,2,0,0,10,0
Eden Hazard\a39bb753,be BEL,FWMF,30,23,9,909,10.1,1,1,1,0,0,3,0
Marcelo\603116a7,br BRA,DF,33,17,6,734,8.2,0,2,0,0,0,0,1
Luka Jović\4d8cd038,rs SRB,FW,23,19,3,561,6.2,1,3,1,0,0,2,0
Mariano\5c4dc0ff,do DOM,FW,27,11,4,402,4.5,1,1,1,0,0,2,0
Andriy Lunin\3061e1ec,ua UKR,GK,22,4,4,390,4.3,0,0,0,0,0,0,0
Jesús Vallejo\c2111b45,es ESP,DF,24,8,4,355,3.9,0,0,0,0,0,1,0
Isco\a0b4bb3e,es ESP,MFFW,29,16,2,353,3.9,2,0,2,0,0,1,0
Dani Ceballos\c0617e2b,es ESP,MF,24,18,2,352,3.9,0,1,0,0,0,1,0
Miguel Gutiérrez\7e98cff1,es ESP,DF,20,4,4,325,3.6,0,1,0,0,0,1,0
Gareth Bale\a58bb1e1,wls WAL,FW,32,7,4,289,3.2,1,0,1,0,0,2,0
Blanco\506daeac,es ESP,MF,21,2,0,38,0.4,0,0,0,0,0,0,0
Peter González\1ccd3dae,do DOM,MFDF,19,3,0,27,0.3,0,0,0,0,0,0,0
Mario Gila\9c435456,es ESP,DF,20,2,0,25,0.3,0,0,0,0,0,0,0
Sergio Santos\cf59e05f,es ESP,DF,20,1,0,11,0.1,0,0,0,0,0,0,0
Latasa\2bea832e,es ESP,FW,20,1,0,9,0.1,0,0,0,0,0,0,0
Rafa\3239a8ed,es ESP,DF,19,0,0,,,,,,,,,
Álvaro Odriozola\1d1691ad,es ESP,DF,25,0,0,,,,,,,,,
Luis López\ccb491d0,es ESP,GK,20,0,0,,,,,,,,,
Diego Piñeiro\ef6a4afe,es ESP,GK,17,0,0,,,,,,,,,
Toni Fuidias\33d2c795,es ESP,GK,20,0,0,,,,,,,,,
