Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
Hugo Lloris,GK,35-173,9,9,810,9.0,0,0,0,0,0,0,0
Antoine Griezmann,MFFW,31-088,10,10,786,8.7,6,3,5,1,1,0,0
Adrien Rabiot,MF,27-075,9,7,649,7.2,1,1,1,0,0,1,0
Paul Pogba,MF,29-094,8,6,559,6.2,0,1,0,0,0,1,0
Kylian Mbappé,FWMF,23-179,7,6,554,6.2,7,3,6,1,2,0,0
Presnel Kimpembe,DF,26-308,6,6,539,6.0,0,0,0,0,0,1,0
Raphaël Varane,DF,29-053,6,6,496,5.5,0,0,0,0,0,1,0
Lucas Digne,DFMF,28-332,5,5,450,5.0,0,0,0,0,0,0,0
Kingsley Coman,MF,26-004,8,5,398,4.4,0,2,0,0,0,0,0
Kurt Zouma,DF,27-233,4,4,360,4.0,0,0,0,0,0,0,0
Lucas Hernández,DF,26-123,4,4,348,3.9,0,0,0,0,0,0,0
Leo Dubois,DFMF,27-276,5,4,329,3.7,0,1,0,0,0,0,0
Aurélien Tchouaméni,MF,22-141,6,3,328,3.6,1,0,1,0,0,0,0
Jules Koundé,DF,23-217,5,4,297,3.3,0,0,0,0,0,0,1
Karim Benzema,FW,34-180,5,3,296,3.3,3,1,3,0,0,1,0
Theo Hernández,MFDF,24-254,3,3,270,3.0,0,3,0,0,0,0,0
Olivier Giroud,FW,35-260,4,3,248,2.8,2,0,2,0,0,0,0
Benjamin Pavard,DF,26-081,4,2,237,2.6,0,0,0,0,0,1,0
Anthony Martial,FWMF,26-194,5,3,229,2.5,1,1,1,0,0,0,0
N'Golo Kanté,MF,31-080,3,3,224,2.5,0,0,0,0,0,0,0
Thomas Lemar,MFFW,26-217,3,3,224,2.5,0,0,0,0,0,1,0
Dayot Upamecano,DF,23-233,2,2,180,2.0,0,0,0,0,0,0,0
Moussa Diaby,FW,22-345,5,1,130,1.4,0,1,0,0,0,0,0
William Saliba,DF,21-085,2,1,123,1.4,0,0,0,0,0,0,0
Ousmane Dembélé,FW,25-033,2,1,117,1.3,1,0,1,0,0,1,0
Clément Lenglet,DF,27-000,3,1,103,1.1,0,0,0,0,0,0,0
Mike Maignan,GK,26-349,1,1,90,1.0,0,0,0,0,0,0,0
Jonathan Clauss,MF,29-265,2,1,90,1.0,0,0,0,0,0,0,0
Wissam Ben Yedder,FWMF,31-309,5,0,88,1.0,1,0,1,0,0,0,0
Tanguy Ndombele,MF,25-171,1,1,81,0.9,0,0,0,0,0,0,0
Christopher Nkunku,FW,24-215,2,1,77,0.9,0,0,0,0,0,0,0
Jordan Veretout,MF,29-108,3,1,65,0.7,0,0,0,0,0,1,0
Mattéo Guendouzi,MF,23-064,3,0,51,0.6,1,1,1,0,0,0,0
Nordi Mukiele,DFMF,24-228,1,0,24,0.3,0,0,0,0,0,0,0
Moussa Sissoko,MF,32-305,2,0,10,0.1,0,0,0,0,0,0,0
Ferland Mendy,DF,27-009,0,0,,,,,,,,,
Alphonse Areola,GK,29-110,0,0,,,,,,,,,
Benoît Costil,GK,34-349,0,0,,,,,,,,,
Steve Mandanda,GK,37-081,0,0,,,,,,,,,
