Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
Kalidou Koulibaly,DF,30,8,8,750,8.3,0,2,0,0,0,1,0
Ismaila Sarr,MFFW,23,8,8,744,8.3,3,1,3,0,0,1,0
Idrissa Gana Gueye,MF,32,8,8,711,7.9,1,0,1,0,0,1,0
Saliou Ciss,DF,32,8,7,666,7.4,0,3,0,0,0,0,0
Edouard Mendy,GK,29,7,7,660,7.3,0,0,0,0,0,0,0
Sadio Mané,MFFW,29,7,7,599,6.7,3,4,2,1,1,1,0
Bouna Sarr,DFMF,30,6,6,517,5.7,0,0,0,0,0,0,0
Cheikhou Kouyaté,MF,32,6,5,449,5.0,0,0,0,0,0,0,0
Abdou Diallo,DF,25,5,5,373,4.1,1,0,1,0,0,1,0
Boulaye Dia,FW,25,5,4,354,3.9,2,1,2,0,0,0,0
Famara Diedhiou,FW,29,5,4,304,3.4,4,0,4,0,0,0,0
Pape Abou Cisse,DF,26,4,3,355,3.9,0,0,0,0,0,0,0
Nampalys Mendy,MF,29,6,3,300,3.3,0,0,0,0,0,1,0
Krepin Diatta,MF,22,4,3,244,2.7,0,0,0,0,0,0,0
Ibrahima Mbaye,DF,27,2,2,161,1.8,0,0,0,0,0,1,0
Habib Diallo,FW,26,4,1,129,1.4,1,1,1,0,0,0,0
Youssouf Sabaly,DF,28,1,1,120,1.3,0,0,0,0,0,0,0
Keita Baldé,MF,26,2,1,108,1.2,1,0,1,0,0,0,0
Joseph Lopy,MF,29,2,1,108,1.2,0,0,0,0,0,0,0
Pape Matar Sarr,FW,19,3,1,92,1.0,0,0,0,0,0,0,0
Alfred Gomis,GK,28,1,1,90,1.0,0,0,0,0,0,0,0
Fodé Ballo-Touré,DF,25,4,1,88,1.0,0,0,0,0,0,1,0
Abdallah Sima,MF,20,2,1,69,0.8,0,0,0,0,0,0,0
Bamba Dieng,FW,21,6,0,160,1.8,0,1,0,0,0,1,0
Pape Gueye,MF,23,3,0,74,0.8,0,0,0,0,0,0,0
El Hadji Moutarou Baldé,DF,28,2,0,19,0.2,0,0,0,0,0,0,0
Moustapha Name,MF,26,2,0,4,0.0,0,0,0,0,0,0,0
Abdoulaye Seck,DF,29,1,0,2,0.0,0,0,0,0,0,0,0
Alioune Badara Faty,GK,22,0,0,,,,,,,,,
Seny Dieng,GK,27,0,0,,,,,,,,,
Bingourou Kamara,GK,25,0,0,,,,,,,,,
Loum Ndiaye,MF,25,0,0,,,,,,,,,
Sada Thioub,FWMF,26,0,0,,,,,,,,,
